Titles,Companies,Employment Modes,Currencies,Salaries,Closing Dates
初中數理導師(6天) (鑽石山),Bright Union International Limited,"Full Time, Graduate",HKD ($),20K per month,2024-09-06
初中導師(6天)(屯門友愛),Bright Union International Limited,"Full Time, Graduate",HKD ($),0 - 18.5K per month,2024-09-06
見習统籌主任(6天) (鑽石山),Bright Union International Limited,"Full Time, Graduate",HKD ($),22K per month,2024-09-06
見習助理統籌主任(6日) (屯門市中心 ),Bright Union International Limited,"Full Time, Graduate",HKD ($),20K per month,2024-09-06
見習助理統籌主任(6日) (屯門友愛),Bright Union International Limited,"Full Time, Graduate",HKD ($),20K per month,2024-09-06
見習助理統籌主任(6日) (屯門盈豐),Bright Union International Limited,"Full Time, Graduate",HKD ($),20K per month,2024-09-06
初中導師(6天)(屯門友愛),Bright Union International Limited,"Full Time, Graduate",HKD ($),0 - 18.5K per month,2024-09-06
初中導師(6天)(屯門盈豐),Bright Union International Limited,"Full Time, Graduate",HKD ($),18.5K per month,2024-09-06
Data Analyst Part Time Intern,Landcrowd Limited,"Part Time, Temporary",HKD ($),400 per day,2024-09-19
2024/25財富管理實習生,Roy Financial Consulting,"Job at Greater Bay Area, Full Time, Graduate",HKD ($),15K - 50K per month,2024-09-20
Community Associate,Access Benefit Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-20
Community Associate (Part time),Access Benefit Limited,"Part Time, Temporary",HKD ($),Negotiable,2024-09-20
Youth Work Officer 青年工作幹事(註冊學位社工)(洪水橋青年空間),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),36.85K - 60.49K per month,2024-09-20
Marketing Associate,Decatron Innovation Limited,"Full Time, Graduate",HKD ($),16.5K - 18K per month,2024-09-19
社會工作助理 (Social Work Assistant) - 「燃希攻略 – 優化康復治療及續顧服務計劃」2.0,The Society for the Aid and Rehabilitation of Drug Abusers,"Full Time, Graduate",HKD ($),25K - 25.5K per month,2024-09-02
Lab Technician / Gemmologist,Gubelin Gem Lab Limited,"Full Time, Graduate",HKD ($),15K - 18K per month,2024-09-20
社會工作助理 (Social Work Assistant) - Halfway House,The Society for the Aid and Rehabilitation of Drug Abusers,"Full Time, Graduate",HKD ($),25K - 26K per month,2024-09-02
project officer,Benchmark Consulting Engineers Ltd,"Full Time, Graduate",HKD ($),20K - 21K per month,2024-09-20
Digital Design & Verification Engineer (Fresh Graduate Welcomed),"Huawei Tech. Investment Co., Limited","Full Time, Graduate",HKD ($),26K - 29K per month,2024-09-20
Firmware Engineer (Performance Modeling & Analysis),"Huawei Tech. Investment Co., Limited","Full Time, Graduate",HKD ($),26K - 29K per month,2024-09-20
Phyiscal Design Engineer (Fresh Graduate Welcomed),"Huawei Tech. Investment Co., Limited","Full Time, Graduate",HKD ($),26K - 30K per month,2024-09-20
Part Time Content Writer (Maths),EDUSMART COMPANY LIMITED,"Part Time, Temporary",HKD ($),60 per hour,2024-09-20
"Intern, Blog Content Operations",艺龙国际旅行香港有限公司,"Part Time, Internship",HKD ($),50 - 55 per hour,2024-09-20
Design Verification Engineer,"Huawei Tech. Investment Co., Limited","Full Time, Graduate",HKD ($),26K - 29K per month,2024-09-20
Event Ambassador,Betterment Asia Limited,"Part Time, Temporary",HKD ($),Negotiable,2024-09-20
Guest Services Officer,Noah's Ark Hotel and Resort,"Full Time, Graduate",HKD ($),16K - 18K per month,2024-09-20
Part-time Mathematics teachers,Nobal Limited,"Part Time, Temporary",HKD ($),250 - 350 per hour,2024-08-31
Part-time Associate (2 - 3 days per week),IPR Ogilvy Limited,"Part Time, Temporary",HKD ($),Negotiable,2024-09-20
Part-time - Membership Services Assistant (Hotline),The Hong Kong Jockey Club,"Part Time, Temporary",HKD ($),Negotiable,2024-09-16
Junior Designer,DIA (ASIA PACIFIC) COMPANY LIMITED,"Full Time, Graduate",HKD ($),14K - 16.5K per month,2024-09-14
Programmer,Tradelink Technologies Limited,"Part Time, Internship",HKD ($),80 - 85 per hour,2024-09-15
Business Development Executive,IT Channel (Asia) Limited,"Full Time, Graduate",HKD ($),17K - 20K per month,2024-09-20
Assistant Software Engineer / Software Engineer,IT Channel (Asia) Limited,"Full Time, Graduate",HKD ($),17K - 20K per month,2024-09-20
