Titles,Companies,Currencies,Salaries,Closing Dates
System Engineer,UNOTECH LIMITED,HKD ($),Negotiable,2024-08-31
Logistics Coordinator (Shipping arrangement),SF Supply Chain (Hong Kong) Limited,HKD ($),Negotiable,2024-08-31
Assistant Project Engineer,Henley Engineers Limited,HKD ($),19K - 25K per month,2024-09-05
Wealth Management Trainee,ZIPP Wealth Management Limited,HKD ($),Negotiable,2024-09-06
Business Analyst – Smart Logistics,Hong Kong Logistics Technology & Systems Limited,HKD ($),17K - 19K per month,2024-09-06
Assistant Test Engineer,TUV Rheinland HK Limited,HKD ($),14K - 16K per month,2024-09-06
Secretary,Hong Kong Christian Service,HKD ($),Negotiable,2024-08-23
"Accounting Associate, Outsourcing Services",Mazars CPA Limited,HKD ($),18K - 19K per month,2024-09-06
"2024 Graduate Associate, Audit & Assurance",Mazars CPA Limited,HKD ($),18K per month,2024-09-05
Assistant Editor 助理編輯 (中學中文科),Pan Lloyds Publishers Limited,HKD ($),15K - 17K per month,2024-09-06
Part Time Tutor - Chemistry,ED Pro Learning Centre Limited,HKD ($),250 - 350 per hour,2024-08-31
Senior Software Development Engineer,Bloombase Technologies Limited,HKD ($),20K - 50K per month,2024-09-06
Software Development Engineer,Bloombase Technologies Limited,HKD ($),14K - 20K per month,2024-09-06
Technical Support Engineer,Bloombase Technologies Limited,HKD ($),14K - 20K per month,2024-09-06
Customer Success Engineer,Bloombase Technologies Limited,HKD ($),14K - 20K per month,2024-09-06
"Assistant Officer, Corporate Services",Gary Cheng CPA Limited,HKD ($),17K - 17.5K per month,2024-09-06
Sales & Marketing Executive (FMCG),Metro Brands Limited,HKD ($),13K - 15K per month,2024-08-31
Asset Management Trainee,Polar Management Company,HKD ($),12K - 18K per month,2024-08-31
Project Management Trainee,Anson Tools Holdings Limited,HKD ($),16K - 23K per month,2024-09-06
Graduate Engineer,Anson Tools Holdings Limited,HKD ($),16K - 23K per month,2024-09-06
Product Advisor,Anson Tools Holdings Limited,HKD ($),12K - 20K per month,2024-09-06
Reporter - Online News,The Standard Newspapers Publishing Limited,HKD ($),16K - 17K per month,2024-08-31
TRAINEE: Data Quality Assistant,Societe Generale - Hong Kong Branch,HKD ($),30K - 34K per month,2024-09-06
Customer Service Executive - Commoditites,Brink's Hong Kong Limited,HKD ($),17K - 18K per month,2024-09-06
STEM TUTOR,INTELLIGENT TRAINING CENTER LIMITED,HKD ($),Negotiable,2024-09-06
Sonographer,Trinity Medical Imaging Centre Limited,HKD ($),400 - 800 per hour,2024-08-31
Health Care Assistant,Trinity Medical Imaging Centre Limited,HKD ($),16K - 20K per month,2024-08-31
Customer Services Associates (Front Desk),Trinity Medical Imaging Centre Limited,HKD ($),Negotiable,2024-08-31
Medical Typist,Trinity Medical Imaging Centre Limited,HKD ($),18K - 22.5K per month,2024-08-31
Executive Officer/ Executive Assistant (Reporting Team),Trinity Medical Imaging Centre Limited,HKD ($),18K - 22.5K per month,2024-08-31
Digital Marketing Assistant [Fresh Graduate are Welcome](Social Media/ Online Adv),iBorn Media Limited,HKD ($),Negotiable,2024-09-05
市場專員Marketing Specialis,香港邦芒服務外包有限公司,HKD ($),15K - 20K per month,2024-08-31
Graduate Intern (Hong Kong Palace Museum – Graphic/Exhibition Design),West Kowloon Cultural District Authority,HKD ($),16K per month,2024-09-05
"Assistant Property Officer / Property Officer, Commercial Leasing",Lai Sun Development Company Limited,HKD ($),18K - 22K per month,2024-09-05
Graduate Intern (Hong Kong Palace Museum – Conservation and Collection),West Kowloon Cultural District Authority,HKD ($),16K per month,2024-09-05
教會關懷貧窮網絡 聘請 傳播主任  (Communication Officer),The Hong Kong Church Network For The Poor Company Limited,HKD ($),Negotiable,2024-09-05
Graduate Engineer (Civil & Structural) (2024 Graduate Program),Ho Tin & Associates Consulting Engineers Limited,HKD ($),22K - 25K per month,2024-09-05
Company Secretarial Officer / Assistant,John Swire & Sons (H.K.) Limited,HKD ($),Negotiable,2024-09-05
Social Marketing Executive,Rubison Digital Solutions Limited,HKD ($),17K - 18K per month,2024-09-05
Senior AI Specialist,Imimr Systems Limited,HKD ($),Negotiable,2024-08-31
會計主任Accounting Officer,香港邦芒服務外包有限公司,HKD ($),15K - 20K per month,2024-08-31
人事專員（人事代理）Human Resources Specialist,香港邦芒服務外包有限公司,HKD ($),15K - 20K per month,2024-08-31
财富管理实习生（欢迎IANG/可提供留港工作签证）,ZEBUL INTERNATIONAL CO,HKD ($),Negotiable,2024-09-05
外包項目經理（Project manager）,香港邦芒服務外包有限公司,HKD ($),13K - 20K per month,2024-08-31
"Project & Admin Executive(5days work, Office hours:10:00-18:00)",Kindness Support Limited,HKD ($),17K - 19K per month,2024-08-31
Development Officer (Communication and Language-related Programmes) (香港青年協會領袖學院),The Hong Kong Federation of Youth Groups - Head Office,HKD ($),34.06K - 44.55K per month,2024-09-05
招银网络科技2025校园招聘,"Tongdao Elite (Tianjin) Information Technology Co.,LTD",CNY (¥),15K - 25K per month,2024-09-05
TRAINEE: CLD KYC Controls Office,Societe Generale - Hong Kong Branch,HKD ($),30K - 34K per month,2024-09-05
"Management Trainee/Financial Consultant, Wealth Advisor /Internship",CLC_NC,HKD ($),20K - 60K per month,2024-08-28
Sales Coordinator,Infocan Computer (Hong Kong) Limited,HKD ($),14K - 18K per month,2024-09-05
"2024 Graduate Position - Accountant, Audit & Assurance Services (Dec 2024/Jan 2025 Intake)",RSM Hong Kong,HKD ($),Negotiable,2024-09-05
Associate (Financial PR),IPR Ogilvy Limited,HKD ($),Negotiable,2024-09-05
TRAINEE: Enterprise Risk Management,Societe Generale - Hong Kong Branch,HKD ($),30K - 34K per month,2024-09-05
TRAINEE: Trading Desk Developer,Societe Generale - Hong Kong Branch,HKD ($),30K - 34K per month,2024-09-05
Assistant Officer/Officer (Finance),Hong Kong Generative AI Research and Development Center Limited,HKD ($),Negotiable,2024-09-05
Graduate Trainee (Scheme A 2023 / 2024),Wong & Ouyang (Building Services) Limited,HKD ($),23K per month,2024-09-05
Accounting Clerk,Honour Lane Shipping Limited,HKD ($),14K - 16K per month,2024-09-05
Accounting Assistant (Ref.: CHO-AT),CK Asset Holdings Limited,HKD ($),Negotiable,2024-09-05
Graduate Sales Engineer,Albacastor Technology Limited,HKD ($),18K - 22K per month,2024-09-05
Graduate Engineer (Building / Civil),Lanon Development Limited,HKD ($),30K per month,2024-09-05
見習助理統籌主任 (天水圍天澤),Bright Union International Limited,HKD ($),20K per month,2024-08-22
Junior Database Administrator,VTECH CORPORATE SERVICES LIMITED,HKD ($),20K - 35K per month,2024-09-05
律师助理,Chang Tsi & Partners Intellectual Property (HK) Limited,HKD ($),12K - 20K per month,2024-09-05
General Clerk,AP Rentals Limited,HKD ($),Negotiable,2024-09-05
Accounts Clerk,AP Rentals Limited,HKD ($),Negotiable,2024-09-05
Workshop Administration Assistant,AP Rentals Limited,HKD ($),14K - 17K per month,2024-09-05
Sales Executive,AP Rentals Limited,HKD ($),15K - 18K per month,2024-09-05
Assistant Editor,Koomen International Company Limited,HKD ($),13K - 16K per month,2024-09-05
Wealth Management Trainee (Local/Overseas/IANG Fresh Graduate Program),ND INSURANCE AGENCY,HKD ($),30K - 50K per month,2024-09-05
青年工作員(賽馬會天悅青年空間),The Hong Kong Federation of Youth Groups - Head Office,HKD ($),21.5K - 31.65K per month,2024-09-05
Graduate Intern (Hong Kong Palace Museum – Curatorial Affairs),West Kowloon Cultural District Authority,HKD ($),16K per month,2024-09-05
Graduate Intern (Hong Kong Palace Museum – Conservation-Object),West Kowloon Cultural District Authority,HKD ($),16K per month,2024-09-05
Graduate Intern (Hong Kong Palace Museum – Publishing and Editorial),West Kowloon Cultural District Authority,HKD ($),16K per month,2024-09-05
Graduate Intern (Hong Kong Palace Museum – Collection Management),West Kowloon Cultural District Authority,HKD ($),16K per month,2024-09-05
Client Solutions Executive | SEM | Digital Marketing,New iMedia Solutions Limited,HKD ($),16K - 18K per month,2024-09-05
Engineer / Assistant Engineer (FGS-INST),Fugro Geotechnical Services Limited,HKD ($),Negotiable,2024-09-04
Editor/Project Editor/Executive Editor - Primary & Secondary ELT,Oxford University Press (China) Limited,HKD ($),Negotiable,2024-09-04
Senior Sales Executive / Sales Executive,Oxford University Press (China) Limited,HKD ($),Negotiable,2024-09-04
Graduate / Assistant Civil & Structural Engineers,Paul Wong Consulting Engineers Limited,HKD ($),20K - 30K per month,2024-09-04
Sales Executive (Graduate Trainee Programme),Ecolab Limited,HKD ($),18K - 20K per month,2024-08-31
.NET Analyst Programmer,Million Tech Development Limited,HKD ($),26K - 32K per month,2024-09-04
Project Executive/ Associate Business Analyst,Million Tech Development Limited,HKD ($),20K - 30K per month,2024-09-04
Business Development Executive Trainee (IT Solution),Togo Pacific Limited,HKD ($),Negotiable,2024-09-01
《培訓主任》(RSW) [全職],Fruitful Life Training Workshop Limited,HKD ($),20K - 30K per month,2024-09-04
《活動工作員/幹事》(PW) [全職/半職],Fruitful Life Training Workshop Limited,HKD ($),18K - 25K per month,2024-09-04
"Museum Trainee (Conservation), Hong Kong Palace Museum",West Kowloon Cultural District Authority,HKD ($),16K - 18.5K per month,2024-09-04
Assistant Geologist / Geotechnical Engineer (SI),Fugro Geotechnical Services Limited,HKD ($),Negotiable,2024-09-04
Graphic Designer,Mad Head App Limited,HKD ($),15K - 17K per month,2024-09-04
Marketing Assistant,Smart Education Company Limited,HKD ($),16K - 20K per month,2024-08-31
Marketing Coordinator,MVP International Capital Limited,HKD ($),15K - 18K per month,2024-08-24
"Consultant, Industry 4.0+ and AI (Ref: NID286/24, 9769)",Hong Kong Productivity Council,HKD ($),30K - 45K per month,2024-08-31
Assistant Examination Services Officer (Customer Service Focus),IDP Education Limited,HKD ($),Negotiable,2024-08-31
"Consultant, Industry 4.0+ (Ref:NID285/24, 9768)",Hong Kong Productivity Council,HKD ($),25K - 40K per month,2024-08-31
Administrative Assistant / Officer (Student Services),IDP Education Limited,HKD ($),Negotiable,2024-08-31
Buying Officer (Welcome Fresh Graduates),Hong Kong Technology Venture Company Limited,HKD ($),17K - 22K per month,2024-09-04
Team Happiness & Admin Assistant / Officer,Oursky Limited,HKD ($),18K - 20K per month,2024-09-04
IT Technical Support / Assistant (Junior),Medtimes Medical Group Limited,HKD ($),Negotiable,2024-09-03
"Graduate Intern (Hong Kong Palace Museum – Museum Operations, Digital Development)",West Kowloon Cultural District Authority,HKD ($),16K per month,2024-09-04
全職補習社高中生物導師,Total Wise Limited,HKD ($),23K - 26K per month,2024-09-03
補習社客戶服務員(5天工作),Total Wise Limited,HKD ($),16K - 16.8K per month,2024-09-03
[急聘]補習社中小學導師(6天工作),Total Wise Limited,HKD ($),20K - 21.5K per month,2024-09-03
全職補習社高中英文導師,Total Wise Limited,HKD ($),30K - 32K per month,2024-09-03
[急聘]補習社初中學導師(6天工作),Total Wise Limited,HKD ($),22K - 24K per month,2024-09-03
Social Media Assistant (Welcome Recent Graduates),Hong Kong Technology Venture Company Limited,HKD ($),17K - 20K per month,2024-09-04
Customer Service Officer,PI Business Consulting,HKD ($),19K - 26K per month,2024-08-31
Management Trainee,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-04
Management Trainee - Sales,QP (HK) Limited,HKD ($),18K - 27K per month,2024-09-04
Business Analyst,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-04
Operation Officer,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-04
Junior Trader,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-04
Quantitative Analyst,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-04
Programmer Analyst,Ctech Group Limited,HKD ($),40K - 60K per month,2024-09-04
Business Development Executive,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-04
Junior Programmer (Machine Learning / AI),Ctech Group Limited,HKD ($),40K - 60K per month,2024-09-04
Assistant Engineer (Mechanical),REC Engineering Company Limited,HKD ($),Negotiable,2024-09-02
Assistant Engineer(Electrical),REC Engineering Company Limited,HKD ($),Negotiable,2024-09-02
全職幼稚園老師 (青樂幼稚園/青樂幼兒園),The Hong Kong Federation of Youth Groups - Head Office,HKD ($),24.38K - 31.65K per month,2024-08-31
Product Designer,Cosmocon International Limited,HKD ($),18K - 30K per month,2024-09-03
"Graduate Engineer (HKIE Scheme A, Building Services )",Benchmark Consulting Engineers Ltd,HKD ($),20K - 21K per month,2024-08-31
Product Officer,Cosmocon International Limited,HKD ($),16K - 20K per month,2024-09-03
Python/Flutter Programmer,Aim System Limited,HKD ($),Negotiable,2024-08-31
IT Support Engineer,IT Channel (Asia) Limited,HKD ($),16K - 18K per month,2024-09-03
Property Consultant / Sale Manager (Real Estate Agency – Commercial),PROPWISER CONSULTANTS LIMITED,HKD ($),12K - 20K per month,2024-09-03
"Analyst, Corporate Finance (6-month renewable contract)",Asian Capital Limited,HKD ($),Negotiable,2024-08-25
Sales Operation Assistant,Work In Progress (H.K.) Ltd.,HKD ($),16K - 22K per month,2024-08-31
Physiotherapist,St. Teresa's Hospital,HKD ($),Negotiable,2024-09-03
Radiographer (Heart Centre),St. Teresa's Hospital,HKD ($),Negotiable,2024-09-03
Registered Nurses / Midwives,St. Teresa's Hospital,HKD ($),Negotiable,2024-09-03
Marking,Just Properties Agency (Hong Kong) Limited,HKD ($),12K - 30K per month,2024-09-01
Radiographer I / II (X-Ray),St. Teresa's Hospital,HKD ($),Negotiable,2024-09-03
"Trainee, Economic Research",Natixis,HKD ($),Negotiable,2024-09-03
Administration Assistant,Montagut Far East Limited,HKD ($),16K - 18K per month,2024-09-03
青年工作幹事 (註冊文憑/副學士社工)(賽馬會坪石青年空間),The Hong Kong Federation of Youth Groups - Head Office,HKD ($),24.38K - 40.42K per month,2024-09-03
Assistant Engineer (Building Services),REC Engineering Company Limited,HKD ($),Negotiable,2024-09-02
Assistant Engineer (Environmental),REC Engineering Company Limited,HKD ($),Negotiable,2024-09-02
Asset Management Consultant (Welcome Fresh Graduates),SL Asset Management Co.,HKD ($),25K - 50K per month,2024-08-25
Secretary/ Personal Assistant/ Administrative Clerk,SL Asset Management Co.,HKD ($),15K - 18K per month,2024-08-25
Administrative Officer,Hong Kong Society of Notaries,HKD ($),Negotiable,2024-08-31
Paralegal,"Yu & Associates, Solicitors",HKD ($),17K - 20K per month,2024-09-01
Trainee Solicitors- 2024,"Yu & Associates, Solicitors",HKD ($),Negotiable,2024-09-01
港漂金融和健康顧問,WILLIAM ROBINHOOD LIMITED,HKD ($),18K - 30K per month,2024-08-28
Software Programmer Part Time,Fortune Information Technology Limited,HKD ($),50 - 60 per hour,2024-09-01
Assistant Engineer (under Energy Scheme A Training),Telemax Environmemtal and Energy Management Limited,HKD ($),Negotiable,2024-09-01
Assistant Engineer (under Building Service Scheme A Training),Telemax Environmemtal and Energy Management Limited,HKD ($),Negotiable,2024-09-01
Assistant Engineer (under Environmental Scheme A Training),Telemax Environmemtal and Energy Management Limited,HKD ($),Negotiable,2024-09-01
Administration Assistant,FastLane HR Solution Services Limited,HKD ($),15K - 16K per month,2024-09-01
Reservations Service Associate *5-days work week*,Kowloon Panda Hotel Limited,HKD ($),16K - 16.5K per month,2024-08-31
Company Secretarial Assistant,Hui Sik Wing & Company,HKD ($),18K - 30K per month,2024-08-31
Audit Associate,Hui Sik Wing & Company,HKD ($),18K - 30K per month,2024-08-31
Front Desk Service Associate *5-day Work Week*,Kowloon Panda Hotel Limited,HKD ($),16.5K - 17K per month,2024-08-31
Japanese Subtitle Editor | Translation | Media Subtitling,Iyuno Hong Kong Limited,HKD ($),Negotiable,2024-08-31
Accounting Assistant (Fresh Graduates are Welcome),Midland Realty (Strategic) Limited,HKD ($),16K - 18K per month,2024-08-28
"Engineer, Rail/Future Mobility (Fresh graduates are welcome)",TUV Rheinland HK Limited,HKD ($),18K - 20K per month,2024-08-31
Customer Service Coordinator,TUV Rheinland HK Limited,HKD ($),Negotiable,2024-08-31
Laboratory Technician,TUV Rheinland HK Limited,HKD ($),Negotiable,2024-08-31
"Graduate Trainee, Marketing and Business Development",Applied Artificial Intelligence Laboratory Limited,HKD ($),17K - 20K per month,2024-08-26
Company Secretarial Assistant,Luk Fook Holdings Company Limited,HKD ($),Negotiable,2024-08-31
Junior Research Associate,luxence capital limited,HKD ($),20K - 25K per month,2024-08-31
Project Coordinator,TUV Rheinland HK Limited,HKD ($),14K - 15K per month,2024-08-31
"Assistant Engineer (Mechanical, electrical and building services bachelor degree, graduated in 2024)",Southa Technical Limited,HKD ($),Negotiable,2024-08-31
Executive,The Hong Kong Children's Choir,HKD ($),Negotiable,2024-08-31
Graphic Designer (Mobile App & AR Game),Joy Aether Limited,HKD ($),Negotiable,2024-08-31
言語治療師 P1-ST-RHC,Christian Family Service Centre,HKD ($),Negotiable,2024-08-31
Project Executive,Cido Limited,HKD ($),16K - 17K per month,2024-08-30
行政助理 (物業統籌),Midland Realty (Strategic) Limited,HKD ($),16K - 20K per month,2024-08-31
Sustainability ESG Consultant / Senior Consultant,GREENCO ESG ADVISORY LIMITED,HKD ($),19K - 21K per month,2024-08-31
Officer - Membership & Event,Treasury Markets Association,HKD ($),22K - 25K per month,2024-08-31
Senior Quality Assurance Officer,IGEARS TECHNOLOGY LIMITED,HKD ($),15K - 20K per month,2024-08-31
Assistant Shop Audit Officer,Luk Fook Holdings Company Limited,HKD ($),Negotiable,2024-08-31
Graduate Intern (District Development),West Kowloon Cultural District Authority,HKD ($),Negotiable,2024-08-31
Graduate Intern (Development (Performing Arts)),West Kowloon Cultural District Authority,HKD ($),Negotiable,2024-08-31
Graduate Intern (Performing Arts – Technical and Productions),West Kowloon Cultural District Authority,HKD ($),Negotiable,2024-08-31
Graduate Intern (Performing Arts – Venue Sales and Partnership),West Kowloon Cultural District Authority,HKD ($),Negotiable,2024-08-31
Retail Sales Advisor / Tesla Advisor,Tesla Motors HK Limited,HKD ($),18K - 25K per month,2024-08-31
Permit Officer,Cathay Pacific Catering Services (HK) Limited,HKD ($),Negotiable,2024-08-30
Junior Business Analyst,B.S.C. Group Ltd,HKD ($),17K - 20K per month,2024-08-31
Business Development Executive (IANG / Fresh Graduate Welcomed),Chief Securities Limited,HKD ($),20K - 30K per month,2024-08-31
Android App Developer,Chief Securities Limited,HKD ($),25K - 50K per month,2024-08-31
Dealer/ Investment Service Officer,Chief Securities Limited,HKD ($),25K - 50K per month,2024-08-31
Programmer,IGEARS TECHNOLOGY LIMITED,HKD ($),15K - 20K per month,2024-08-31
Customer Service Officer,IGEARS TECHNOLOGY LIMITED,HKD ($),15K - 22K per month,2024-08-31
Sales and Marketing Executive,IGEARS TECHNOLOGY LIMITED,HKD ($),15K - 50K per month,2024-08-31
Web Designer,IGEARS TECHNOLOGY LIMITED,HKD ($),13K - 25K per month,2024-08-31
Trainee Accountant / Accountant,Graham H Y Chan & Co,HKD ($),Negotiable,2024-08-31
Junior System Engineer,Azeus Systems Limited,HKD ($),20K - 23K per month,2024-08-30
IT Support ( 2 Years Contract ),Azeus Systems Limited,HKD ($),18K - 20K per month,2024-08-30
Human Resources Assistant,Heep Hong Society,HKD ($),17K - 18K per month,2024-08-26
Mechanical Engineer Assistant (with a Mechanical Engineering background),CHI SHING MACHINERY RENTAL COMPANY LIMITED,HKD ($),Negotiable,2024-08-30
Post-doctoral Fellow in Department of Education Policy and Leadership (Ref: 2400819),The Education University of Hong Kong,HKD ($),45.7K per month,2024-08-22
MPF Specialist,Jackey Ko Consultant CO.,HKD ($),18K - 25K per month,2024-08-30
Accounting Assistant (Shenzhen Stationed),Simatelex Manufactory Company Limited,HKD ($),19K - 20K per month,2024-08-30
Sales Engineer,Simatelex Manufactory Company Limited,HKD ($),19K - 20K per month,2024-08-30
Production Engineer (Qingyuan Stationed),Simatelex Manufactory Company Limited,HKD ($),19K - 20K per month,2024-08-30
Leasing Assistant,Simatelex Manufactory Company Limited,HKD ($),19K - 20K per month,2024-08-30
QA Engineer (Shenzhen Stationed),Simatelex Manufactory Company Limited,HKD ($),19K - 20K per month,2024-08-30
Embedded Software Engineer,Simatelex Manufactory Company Limited,HKD ($),18K - 20K per month,2024-08-30
Assistant Financial Analyst,Simatelex Manufactory Company Limited,HKD ($),18K - 20K per month,2024-08-30
Corporate Services & Administration Executive,Boen Media Corporation Limited,HKD ($),16K - 18K per month,2024-08-30
Systems Operator Trainee,Bangkok Bank Public Co. Ltd.,HKD ($),Negotiable,2024-08-30
"Treasury Settlement Assistant - FX/MM, Derivatives and Securities",Bangkok Bank Public Co. Ltd.,HKD ($),Negotiable,2024-08-30
Relationship Officer - Corporate Banking,Bangkok Bank Public Co. Ltd.,HKD ($),Negotiable,2024-08-30
Customer Service Officer - Fresh graduates are welcome,Superhub Limited,HKD ($),16.5K - 18K per month,2024-08-30
Used Car Advisor,Tesla Motors HK Limited,HKD ($),18K - 25K per month,2024-08-29
功課輔導班導師(5天工作)15-20K,NF Educational Services Limited,HKD ($),15K - 20K per month,2024-08-30
Audit Juniors,Kenneth Chau & Co.,HKD ($),19K per month,2024-08-30
專科班導師(5天工作)19-30K,NF Educational Services Limited,HKD ($),19K - 30K per month,2024-08-30
Technical Sales Executive,Cementaid (Hong Kong) Limited,HKD ($),Negotiable,2024-08-30
Sales Engineer,Alimak Group Hong Kong Limited,HKD ($),Negotiable,2024-08-30
Healthcare Executive,Hong Kong Medical Supplies Ltd,HKD ($),20K - 30K per month,2024-08-29
Graduate Trainee (Accounting),S. C. To & Co.,HKD ($),16K - 20K per month,2024-08-30
Frontend Programmer,Code By Hands Limited,HKD ($),19K - 22K per month,2024-08-30
學校計劃助理,Hong Kong Christian Service,HKD ($),13.86K - 21.5K per month,2024-08-25
Algorithm Engineer,Hong Kong Acamar Corporation Limited,HKD ($),30K - 50K per month,2024-08-30
TRAINEE: Communications Surveillance Analyst,Societe Generale - Hong Kong Branch,HKD ($),30K - 34K per month,2024-08-30
Delivery Advisor,Tesla Motors HK Limited,HKD ($),Negotiable,2024-08-22
Service Advisor,Tesla Motors HK Limited,HKD ($),18K - 25K per month,2024-08-29
TRAINEE: Exotics Cross Asset Trade Support,Societe Generale - Hong Kong Branch,HKD ($),30K - 34K per month,2024-08-30
"Assistant Technical Officer (Chemical Lab, Toys & Children Products)",The Hong Kong Standards and Testing Centre Ltd,HKD ($),16K - 18K per month,2024-08-30
Management Trainee (Pest Elimination Division),Ecolab Limited,HKD ($),Negotiable,2024-08-30
Branch Customer Service Representative,AEON CREDIT SERVICE (ASIA) COMPANY LIMITED,HKD ($),Negotiable,2024-08-30
Desktop Publishing / Graphics Designer (Shift duty is required),Williams Lea (Hong Kong) Limited,HKD ($),20K - 30K per month,2024-08-30
CERTIFICATION OFFICER,The Hong Kong Standards and Testing Centre Ltd,HKD ($),16K - 20K per month,2024-08-30
Associate (Marketing Communications),IPR Ogilvy Limited,HKD ($),Negotiable,2024-08-30
高級會計文員/會計主任 Senior Accounts Clerk/Accounting Officer,Sino United Publishing (Holdings) Limited,HKD ($),Negotiable,2024-08-30
Executive Business Manager (IANG),Jackey Ko Consultant CO.,HKD ($),20K - 50K per month,2024-08-30
Trainee,BE Reinsurance Limited,HKD ($),Negotiable,2024-08-30
Actuary Trainee,BC Reinsurance Ltd,HKD ($),Negotiable,2024-08-30
Trainee Satellite Control Engineer,Asia Satellite Telecommunications Co. Ltd.,HKD ($),Negotiable,2024-08-24
Sales & Marketing Executive (Science Background),Bio-Gene Technology Limited,HKD ($),18K - 26K per month,2024-08-29
Senior Reporter / Reporter (中國新聞),I-CABLE COMMUNICATIONS LIMITED,HKD ($),Negotiable,2024-08-28
Mechanical Engineer,MODERN (INTERNATIONAL) P&M HOLDINGS LIMITED,HKD ($),11.2K - 30K per month,2024-08-28
Analyst Programmer,Pastel Tech Limited,HKD ($),Negotiable,2024-08-29
AI Digital Marketing Officer,Money Concepts (Asia) Holdings Limited,HKD ($),15K - 17K per month,2024-08-29
Admin & Account Officer,MCM Wealth Management Hong Kong Limited,HKD ($),15K - 17K per month,2024-08-29
Sales Support Officer,MCM Wealth Management Hong Kong Limited,HKD ($),15K - 17K per month,2024-08-29
Assistant Editor (Maths),Pan Lloyds Publishers Limited,HKD ($),Negotiable,2024-08-29
Assistant Officer - Sea Operations,Kerry Logistics (Hong Kong) Limited,HKD ($),15K - 20K per month,2024-08-29
Category Executive (RTE) (Wellcome),"The Dairy Farm Company, Limited",HKD ($),Negotiable,2024-08-29
Computer Specialist / Associate / Assistant (e-Commerce),WorldMart International Limited,HKD ($),15K - 17K per month,2024-08-28
Category Executive (RTE) (7-Eleven),"The Dairy Farm Company, Limited",HKD ($),Negotiable,2024-08-29
Front-end Developer,Bull.B Technology Limited,HKD ($),Negotiable,2024-08-28
IT Operator,Bull.B Technology Limited,HKD ($),Negotiable,2024-08-28
Manager Trainee 見習經理,Waihong Environmental Services Limited,HKD ($),16K - 18K per month,2024-08-28
Assistant Quantity Surveyor,Currie & Brown (China) Limited,HKD ($),Negotiable,2024-08-28
Works Supervisor II (Construction),Kai Fu Property Services Co. Ltd.,HKD ($),25.11K - 30K per month,2024-08-28
Investment Officer - Capital Markets & Liquidity Management,"The Bank of East Asia, Limited",HKD ($),20K - 25K per month,2024-08-28
"Senior/ Project Engineer (Lift & Escalator, Modernization) - Open to Fresh Graduate",Schindler Lifts (Hong Kong) Limited,HKD ($),19K - 22K per month,2024-08-28
UI/UX Developer,CCP Technology Limited,HKD ($),Negotiable,2024-08-28
Quality Assurance Developer,CCP Technology Limited,HKD ($),Negotiable,2024-08-28
Front-end Developer,CCP Technology Limited,HKD ($),Negotiable,2024-08-28
Back-end Developer,CCP Technology Limited,HKD ($),Negotiable,2024-08-28
Mobile Application Developer,CCP Technology Limited,HKD ($),Negotiable,2024-08-28
UI/UX Developer,Bull.B Technology Limited,HKD ($),Negotiable,2024-08-28
Assistant Administration Officer,Midland Realty (Strategic) Limited,HKD ($),17K - 20K per month,2024-08-28
Back-end Developer,Bull.B Technology Limited,HKD ($),22K - 50K per month,2024-08-28
Information Security Consultant,Gabriel Consultant Limited,HKD ($),16K - 18K per month,2024-08-28
Management Trainee,Vpower Holdings Limited,HKD ($),Negotiable,2024-08-24
paralegal,Chang Tsi & Partners Intellectual Property (HK) Limited,HKD ($),12K - 20K per month,2024-08-28
Research Assistant (Job ID: 10078),The Hong Kong University of Science & Technology-Human Resources Office,HKD ($),Negotiable,2024-08-28
Crypto Analyst,FAMOUS RAISE LTD,HKD ($),100 - 300 per hour,2024-08-28
Junior Graphic Designer,PICTO HONG KONG LIMITED,HKD ($),15K - 18K per month,2024-08-28
Customer Services Officer,The Clearwater Bay Golf & Country Club,HKD ($),Negotiable,2024-08-28
Assistant Communications Officer,The Clearwater Bay Golf & Country Club,HKD ($),17K - 20K per month,2024-08-28
Customer Service Representative (Delivery Platform Team),GOGO TECH LIMITED,HKD ($),Negotiable,2024-08-28
Finance Officer,Harrow International Management Services Limited,HKD ($),Negotiable,2024-08-25
Assistant Accounting Officer,Midland Realty (Strategic) Limited,HKD ($),17K - 20K per month,2024-08-28
Officer - Credit Policy & Analytics Department,Chong Hing Bank Limited,HKD ($),18K - 20K per month,2024-08-27
SEN Learning Support Instructor Trainee ( Chinese) (Full time) and 特殊學習需要學習支援導師(中文) (全職),Boaz International Education Institute Limited,HKD ($),17K - 18K per month,2024-08-27
SEN Learning Support Instructor Trainee (English) (Full time) and 特殊學習需要學習支援導師(英文) (全職),Boaz International Education Institute Limited,HKD ($),17K - 18K per month,2024-08-27
Solution Sales Executive,Sky Cover Technology Limited,HKD ($),Negotiable,2024-08-28
Full Stack Developer,Sky Cover Technology Limited,HKD ($),Negotiable,2024-08-28
Sales & Project Manager,Prospera International Technology Limited,HKD ($),22K - 38K per month,2024-08-28
